id,code,name,note,account_type,reconcile,chart_template_id:id
account_template_emtsa_1_1_1_01_001_00001,1.1.1.01.001.00001,Caixa Geral,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_002_00001,1.1.1.02.002.00001,Itaú,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_00001,1.1.1.02.003.00001,Aplicação Auto mais,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_00002,1.1.1.02.003.00002,Adiantamento de Despesas,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_00003,1.1.1.02.003.00003,Aplicação CDB,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_00004,1.1.1.02.003.00004,( - ) Receita Financeira apropriar,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_00005,1.1.1.02.003.00005,Aplic.XP Investimentos,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_00006,1.1.1.02.003.00006,Aplic.DI CP FICFI,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_00007,1.1.1.02.003.00007,Aplicação Compassyel Yeld 30RF,,asset_cash,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_1_02_003_90001,1.1.1.02.003.90001,Transferencia de Liquidez,,asset_current,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_2_01_001_00001,1.1.2.01.001.00001,Duplicatas a Receber,,asset_receivable,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_001_00001,1.1.3.01.001.00001,Adiantamento de imposto,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_001_00002,1.1.3.01.001.00002,Seguro Apropriar,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_001_00003,1.1.3.01.001.00003,Assinaturas - Licença de Uso,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_001_00004,1.1.3.01.001.00004,Outros valores a receber,,asset_receivable,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_006_00001,1.1.3.01.006.00001,Adiantamentos Fornecedores,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_006_00002,1.1.3.01.006.00002,Adiantamento Importação,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_006_00003,1.1.3.01.006.00003,Adiantamento Viagem,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_006_00004,1.1.3.01.006.00004,Adiantamentos Assessoria Técnica,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_006_00005,1.1.3.01.006.00005,Adiantamento Feira,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_007_00001,1.1.3.01.007.00001,Adiantamento Salários,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_007_00002,1.1.3.01.007.00002,Adiantamento 13º salario,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_007_00003,1.1.3.01.007.00003,Adiantamento de Férias,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_008_00001,1.1.3.01.008.00001,Empréstimo a Terceiros,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00001,1.1.3.01.009.00001,Retenção de terceiros - PIS/COFINS/CSLL,,asset_current,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00002,1.1.3.01.009.00002,IRRF S/prestacao de serviços,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00003,1.1.3.01.009.00003,Pis a recuperar,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00004,1.1.3.01.009.00004,Cofins a recuperar,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00005,1.1.3.01.009.00005,CSLL a recuperar,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00006,1.1.3.01.009.00006,Retenção de terceiros - IR,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00007,1.1.3.01.009.00007,INSS a compensar,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00008,1.1.3.01.009.00008,IPI a recuperar,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00009,1.1.3.01.009.00009,ICMS a recuperar,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00010,1.1.3.01.009.00010,IR Aplicação Financeira,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00011,1.1.3.01.009.00011,IRPJ a compensar,,asset_current,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_009_00012,1.1.3.01.009.00012,CSLL a compensar,,asset_current,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_010_00001,1.1.3.01.010.00001,Estoque Máquinas,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_010_00002,1.1.3.01.010.00002,Estoque Peças,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_1_3_01_011_00001,1.1.3.01.011.00001,Remessa para demonstração,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_01_001_00001,1.2.3.01.001.00001,Casa Residencial Imóvel Matrícula 75.754,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_01_001_00002,1.2.3.01.001.00002,Benfeitoria,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_01_001_00003,1.2.3.01.001.00003,Apto 1503 Edificio San Diego,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_01_001_00004,1.2.3.01.001.00004,Terreno - Edificio San Diego,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00001,1.2.3.02.001.00001,Móveis e utensílios,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00006,1.2.3.02.001.00006,Equipamento de Informatica,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00007,1.2.3.02.001.00007,Equipamento de Telefonia,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00008,1.2.3.02.001.00008,Equipamento de Comunicação,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00009,1.2.3.02.001.00009,Máquinas e Equipamentos,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00010,1.2.3.02.001.00010,Veículo,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00011,1.2.3.02.001.00011,Computadores e Periféricos,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00012,1.2.3.02.001.00012,Imóvel,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00013,1.2.3.02.001.00013,Terreno,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00014,1.2.3.02.001.00014,Equipamento de Ar Condicionado,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_001_00015,1.2.3.02.001.00015,Instalações - Divisórias,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00001,1.2.3.02.002.00001,(-) Depr.Acum.de moveis e utensilios,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00002,1.2.3.02.002.00002,(-) Depr.Acum.equip. Inform.,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00003,1.2.3.02.002.00003,(-) Depr. Acumuladas de Equip.de Comun.,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00006,1.2.3.02.002.00006,(-) Depr. Acumuladas de Equip.Telefonia,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00007,1.2.3.02.002.00007,(-) Depr. Acumuladas de Maquinas e Equip,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00008,1.2.3.02.002.00008,(-) Depr. Acumuladas de Veiculo,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00009,1.2.3.02.002.00009,(-) Depr.Acumuladas de Comp.Perifericos,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00010,1.2.3.02.002.00010,(-) Depr.Acumulada de Imovel,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00011,1.2.3.02.002.00011,(-) Equipamento de Ar Condicionado,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_02_002_00012,1.2.3.02.002.00012,(-) Depr.Acumulada Instalações,,asset_fixed,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_1_2_3_04_001_00001,1.2.3.04.001.00001,Máquina em poder de terceiros,,asset_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_1_01_001_00001,2.1.1.01.001.00001,Financiamento de Veículos,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_1_02_001_00001,2.1.1.02.001.00001,(-) Juros a apropriar,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_2_01_001_00001,2.1.2.01.001.00001,Fornecedores,,liability_payable,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_2_01_002_00001,2.1.2.01.002.00001,Mercadoria em poder de terceiros,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_2_02_001_00001,2.1.2.02.001.00001,Fornecedor Estrangeiro,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00001,2.1.3.01.001.00001,ISS a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00002,2.1.3.01.001.00002,IPI a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00003,2.1.3.01.001.00003,Pis a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00004,2.1.3.01.001.00004,CSLL a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00005,2.1.3.01.001.00005,IRPJ a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00006,2.1.3.01.001.00006,COFINS a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00007,2.1.3.01.001.00007,IRRF s/ Pró-labore,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00008,2.1.3.01.001.00008,ICMS a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00009,2.1.3.01.001.00009,Retençao de terceiros - PIS/COFINS/CSLL,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00010,2.1.3.01.001.00010,Retençao de terceiros - IR,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_001_00011,2.1.3.01.001.00011,Retenção ISS,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_002_00001,2.1.3.01.002.00001,Parcelamento de IRPJ,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_002_00002,2.1.3.01.002.00002,Parcelamento de CSLL,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_002_00003,2.1.3.01.002.00003,Parcelamento de PIS,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_3_01_002_00004,2.1.3.01.002.00004,Parcelamento de COFINS,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_001_00001,2.1.4.01.001.00001,Salários e ordenados a pagar,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_001_00002,2.1.4.01.001.00002,Férias a pagar,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_001_00003,2.1.4.01.001.00003,Pensão alimentícia,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_002_00001,2.1.4.01.002.00001,INSS a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_002_00002,2.1.4.01.002.00002,FGTS a recolher,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_002_00003,2.1.4.01.002.00003,Contribuiçao Assitencial,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_002_00004,2.1.4.01.002.00004,Contribuiçao Sindical,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_002_00005,2.1.4.01.002.00005,INSS Previdenciario,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_002_00006,2.1.4.01.002.00006,IRRF S/ SALARIO A RECOLHER,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_003_00001,2.1.4.01.003.00001,Provisão para Férias,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_4_01_003_00002,2.1.4.01.003.00002,Provisão para 13º Salario,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_5_01_001_00001,2.1.5.01.001.00001,Adiantamento de Clientes,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_5_01_001_00002,2.1.5.01.001.00002,Adiantamento de Despesas,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_5_01_001_00003,2.1.5.01.001.00003,Adiantamento Projeto,,asset_prepayments,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_5_01_002_00001,2.1.5.01.002.00001,Contas a Pagar,,liability_payable,1,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_1_5_01_004_00001,2.1.5.01.004.00001,C/C Rosangela,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_2_1_01_001_00001,2.2.1.01.001.00001,Empréstimo Capital de Giro,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
account_template_emtsa_2_2_1_01_001_00002,2.2.1.01.001.00002,Financiamento Veículo,,liability_current,,l10n_br_coa_emtsa.account_template_emtsa
